"","between_top100"
"SPIDER-MAN/PETER PAR",2676603.25169885
"CAPTAIN AMERICA",1935707.52353221
"IRON MAN/TONY STARK",1067304.54569492
"WOLVERINE/LOGAN",1062680.33196175
"DR. STRANGE/STEPHEN",846621.342793805
"HAVOK/ALEX SUMMERS",806363.714113055
"THOR/DR. DONALD BLAK",770925.276553656
"HULK/DR. ROBERT BRUC",743857.971628866
"THING/BENJAMIN J. GR",681995.599165067
"DAREDEVIL/MATT MURDO",677435.42660978
"BEAST/HENRY &HANK& P",660047.407345244
"HAWK",623125.400265328
"MR. FANTASTIC/REED R",565053.894856271
"HUMAN TORCH/JOHNNY S",539222.01307289
"FURY, COL. NICHOLAS",492337.595191371
"SILVER SURFER/NORRIN",439868.229654363
"SCARLET WITCH/WANDA",415569.130039969
"SUB-MARINER/NAMOR MA",396431.119965821
"PUNISHER II/FRANK CA",395655.407250444
"SHE-HULK/JENNIFER WA",388711.996723661
"INVISIBLE WOMAN/SUE",366192.038254633
"STORM/ORORO MUNROE S",330652.954115202
"CYCLOPS/SCOTT SUMMER",324658.676247468
"PROFESSOR X/CHARLES",315234.146858434
"JAMESON, J. JONAH",301152.720653621
"ANGEL/WARREN KENNETH",289602.256884339
"MARVEL GIRL/JEAN GRE",283067.934804003
"VISION",281312.220153806
"WONDER MAN/SIMON WIL",250260.026075046
"BLACK WIDOW/NATASHA",248762.311606833
"NIGHTCRAWLER/KURT WA",245934.969936805
"COLOSSUS II/PETER RA",230577.897167869
"CANNONBALL II/SAM GU",218212.234799924
"DR. DOOM/VICTOR VON",214319.040870668
"SUMMERS, NATHAN CHRI",211577.667527195
"ANT-MAN/DR. HENRY J.",208261.795158786
"WASP/JANET VAN DYNE",205191.714268576
"NOVA/RICHARD RIDER",201082.221438075
"CAGE, LUKE/CARL LUCA",195139.604928138
"QUICKSILVER/PIETRO M",190430.744900679
"ICEMAN/ROBERT BOBBY",190313.600068622
"GAMBIT/REMY LEBEAU",189314.42005716
"HERCULES [GREEK GOD]",189169.235482019
"X-MAN/NATHAN GREY",185105.918702321
"BLACK PANTHER/T'CHAL",178478.116437635
"WATSON-PARKER, MARY",167992.489974603
"ROGUE /",163326.948122115
"SPIDER-MAN CLONE/BEN",161585.730250493
"IRON FIST/DANIEL RAN",160672.102648524
"FIRESTAR/ANGELICA JO",151684.687456895
"MOON KNIGHT/MARC SPE",147669.811738794
"JONES, RICHARD MILHO",139158.893967733
"GHOST RIDER III/DAN",137809.100898416
"STARSHINE II/BRANDY",136465.947800731
"JARVIS, EDWIN",135773.778233044
"QUASAR III/WENDELL V",134947.547656516
"BISHOP /",132937.621797946
"JUBILEE/JUBILATION L",131397.073480704
"CAPTAIN BRITAIN/BRIA",127456.561901374
"BANSHEE/SEAN CASSIDY",123895.991111746
"IRON MAN IV/JAMES R.",121196.537676512
"SHADOWCAT/KATHERINE",120530.819452234
"SUNSPOT/ROBERTO DACO",119121.515792553
"NAMORITA/NITA PRENTI",116483.381441113
"DARKHAWK/CHRIS POWEL",105637.482643733
"KINGPIN/WILSON FISK",100556.710554613
"MOONDRAGON/HEATHER D",98338.3644478746
"CRYSTAL [INHUMAN]",98331.4341298651
"BOOMER/TABITHA SMITH",98054.6495678186
"HUDSON, HEATHER",96399.729137644
"PSYLOCKE/ELISABETH B",95557.6717375303
"GHOST RIDER II/JOHNN",94742.3337606062
"SPEEDBALL/ROBBIE BAL",93227.4035429926
"BLACK KNIGHT V/DANE",90772.6136690625
"DUGAN, TIMOTHY ALOYI",88939.7642837024
"ROM, SPACEKNIGHT",87607.6132326925
"THUNDERSTRIKE/ERIC K",83553.89243559
"HELLSTORM/DAIMON HEL",83260.599944929
"THUNDERBIRD II/JAMES",82905.2442841691
"SERSI/SYLVIA",80180.3533970513
"PUCK/EUGENE MILTON J",79666.5017737083
"WHITE QUEEN/EMMA FRO",79532.5600947447
"USAGENT/CAPTAIN JOHN",78148.0613779864
"MIRAGE II/DANIELLE M",75923.3079809417
"ROBERTSON, JOE",75730.3572075297
"SASQUATCH/WALTER LAN",74600.9574591909
"ABOMINATION/EMIL BLO",73802.1937857178
"SHANG-CHI",71894.5954541767
"JUSTICE II/VANCE AST",70320.2129188322
"NELSON, FRANKLIN FOG",66961.91343251
"WOLFSBANE/RAHNE SINC",63462.778961495
"SHANNA/SHANNA O'HARA",62975.4461737849
"THANOS",61627.2215404249
"SUNFIRE/SHIRO YOSHID",60702.7712479418
"DRACULA/VLAD TEPES",60610.4090008568
"LONGSHOT",59221.8160920148
"RICHARDS, FRANKLIN B",58771.8252800966
"MEPHISTO",57044.1764185056
"POLARIS/LORNA DANE",55927.2244072829
"DEADPOOL/JACK/WADE W",54642.1594969894
