"","eigen_top100"
"CAPTAIN AMERICA",1
"THING/BENJAMIN J. GR",0.826634868166242
"HUMAN TORCH/JOHNNY S",0.812159350669197
"MR. FANTASTIC/REED R",0.798075131298306
"IRON MAN/TONY STARK",0.795150288522563
"INVISIBLE WOMAN/SUE",0.768115161459374
"SCARLET WITCH/WANDA",0.751941274757685
"VISION",0.740760267701999
"THOR/DR. DONALD BLAK",0.705169632099447
"WASP/JANET VAN DYNE",0.696464631817553
"HAWK",0.625545354960936
"ANT-MAN/DR. HENRY J.",0.60475719139405
"BEAST/HENRY &HANK& P",0.557571844246042
"WONDER MAN/SIMON WIL",0.507301842197814
"CYCLOPS/SCOTT SUMMER",0.482487884725079
"WOLVERINE/LOGAN",0.467338234043415
"SPIDER-MAN/PETER PAR",0.457650464615856
"STORM/ORORO MUNROE S",0.436098755583306
"PROFESSOR X/CHARLES",0.414234373080036
"SHE-HULK/JENNIFER WA",0.405996063138428
"JARVIS, EDWIN",0.385507264998102
"QUICKSILVER/PIETRO M",0.380161800844442
"COLOSSUS II/PETER RA",0.378707037183525
"MARVEL GIRL/JEAN GRE",0.373725133709923
"ANGEL/WARREN KENNETH",0.370743545947385
"ICEMAN/ROBERT BOBBY",0.364242409824681
"HULK/DR. ROBERT BRUC",0.354329863347034
"HERCULES [GREEK GOD]",0.342296202725606
"SUB-MARINER/NAMOR MA",0.302971663637304
"BLACK WIDOW/NATASHA",0.30147331620616
"ROGUE /",0.298217894345145
"NIGHTCRAWLER/KURT WA",0.275167440616042
"BLACK PANTHER/T'CHAL",0.272551656884375
"RICHARDS, FRANKLIN B",0.270711951532562
"CRYSTAL [INHUMAN]",0.266284072551391
"DR. STRANGE/STEPHEN",0.231769235603631
"DR. DOOM/VICTOR VON",0.220156391474102
"CAPTAIN MARVEL II/MO",0.216642209860839
"BLACK KNIGHT V/DANE",0.216267295161651
"DAREDEVIL/MATT MURDO",0.209593423578084
"PSYLOCKE/ELISABETH B",0.202188571082408
"QUASAR III/WENDELL V",0.197696057009895
"TIGRA/GREER NELSON",0.190067355137059
"FURY, COL. NICHOLAS",0.18943426151042
"SHADOWCAT/KATHERINE",0.188175126319988
"HAVOK/ALEX SUMMERS",0.179424276560697
"MASTERS, ALICIA REIS",0.179024124547208
"JAMESON, J. JONAH",0.178360915402676
"SILVER SURFER/NORRIN",0.176767332958957
"GAMBIT/REMY LEBEAU",0.171305274118264
"MAGNETO/MAGNUS/ERIC",0.1678209691367
"MOCKINGBIRD/DR. BARB",0.164963606464459
"MOONDRAGON/HEATHER D",0.162006478379916
"USAGENT/CAPTAIN JOHN",0.157732754759314
"FALCON/SAM WILSON",0.156233985372838
"BINARY/CAROL DANVERS",0.148918408979012
"JONES, RICHARD MILHO",0.147856672361803
"CANNONBALL II/SAM GU",0.13949543601306
"WATSON-PARKER, MARY",0.139442770058663
"POLARIS/LORNA DANE",0.139330597956714
"MEDUSA/MEDUSALITH AM",0.135312369285877
"FIRESTAR/ANGELICA JO",0.132276889549132
"STARFOX/EROS",0.131851156858096
"GALACTUS/GALAN",0.131045406753399
"THUNDERSTRIKE/ERIC K",0.127873883635581
"NOVA/RICHARD RIDER",0.123540099848516
"IRON MAN IV/JAMES R.",0.123420497562604
"SERSI/SYLVIA",0.123370803718986
"PHARAOH RAMA-TUT",0.116529721690012
"WOLFSBANE/RAHNE SINC",0.11422400954579
"SASQUATCH/WALTER LAN",0.112957368676623
"SPIDER-WOMAN II/JULI",0.112189655645512
"ODIN [ASGARDIAN]",0.109734458359363
"HARKNESS, AGATHA",0.109632637964726
"UATU",0.108960491082177
"BLACK BOLT/BLACKANTO",0.108247588584761
"ROBERTSON, JOE",0.107503199706443
"SUMMERS, NATHAN CHRI",0.106583894028567
"NAMORITA/NITA PRENTI",0.106501352127748
"BANSHEE/SEAN CASSIDY",0.105814200856754
"LOKI [ASGARDIAN]",0.10527959458972
"PARKER, MAY",0.104761429345363
"GORGON [INHUMAN]",0.104125823549651
"KARNAK [INHUMAN]",0.099060592542509
"MACTAGGERT, MOIRA KI",0.0984195559026071
"LIVING LIGHTNING/MIG",0.0983228138551436
"JUSTICE II/VANCE AST",0.0979140508551549
"NORRISS, SISTER BARB",0.0964838170162031
"LYJA LAZERFIST [SKRU",0.0954983642469864
"BISHOP /",0.0906487065179268
"HELLCAT/PATSY WALKER",0.0906170071798743
"TRITON",0.0890863933265435
"LOCKJAW [INHUMAN]",0.0882046955554106
"DR. DRUID/ANTHONY LU",0.0881412122462996
"DUGAN, TIMOTHY ALOYI",0.0871258086774964
"BUCKY/BUCKY BARNES",0.0865087255699985
"ENCHANTRESS/AMORA/HE",0.0863735931314623
"STRONG GUY/GUIDO CAR",0.0844608713580512
"ULTRON",0.0842340409662983
"HUDSON, HEATHER",0.0823372394147495
